Feature,Component,Specification,Expected_Behavior,Test_Method,Status,Issue_Number,Issue_Description
Core_Plugin,Plugin_Installation,Terpedia plugin must be active with version 1.0.0,Plugin shows as active in WordPress admin with correct version,wp plugin status terpedia,PASS,,
Shortcode_System,Advanced_Shortcodes,terpedia_newsletter shortcode renders 3+ newsletter cards,Shortcode outputs HTML with newsletter-card class elements,wp eval 'echo do_shortcode("[terpedia_newsletter]");' | grep -c newsletter-card,PASS,,
Core_Plugin,Theme_Installation,Terpedia Scientific theme must be active with version 1.0.0,Theme shows as active in WordPress admin with correct version,wp theme status terpedia-scientific,PASS,,
CPT_System,Basic_CPTs,Terpenes and Research CPTs must be registered and functional,CPTs appear in admin menu and can create/edit posts,wp post-type list,PASS,,
Shortcode_System,Advanced_Shortcodes,terpedia_terports shortcode renders 3+ terport cards,Shortcode outputs HTML with terport-card class elements,wp eval 'echo do_shortcode("[terpedia_terports]");' | grep -c terport-card,PASS,,
CPT_System,Advanced_CPTs,Podcast Newsletter Terport Use Case CPTs must be registered,All advanced CPTs registered in WordPress,wp post-type list | grep -E 'podcast|newsletter|terport|use|case',PASS,,
BuddyPress_System,BuddyPress_Integration,BuddyPress must be active with version 14.3.4+,BuddyPress plugin shows as active with correct version,wp plugin status buddypress,PASS,,
CPT_System,CPT_Creation,All CPTs must support post creation with metadata,Can create posts with custom fields via WP-CLI,wp post create --post_type=podcast,PASS,,
BuddyPress_System,BuddyPress_Pages,Members and Activity pages must exist,BuddyPress creates required pages during activation,wp post list --post_type=page --post_name=members,PASS,,
Shortcode_System,Core_Shortcodes,terpedia_terpenes shortcode renders 4+ terpene cards,Shortcode outputs HTML with terpene-card class elements,wp eval 'echo do_shortcode("[terpedia_terpenes]");' | grep -c terpene-card,PASS,,
AI_Agent_System,Agent_Profiles,13+ AI Agent BuddyPress profiles must exist,AI agents created as BuddyPress members with terpedia_agent meta,wp user list --meta_key=terpedia_agent --meta_value=true --format=count,PASS,,
Route_System,Specialized_Routes,/agents route must return HTTP 200,Specialized agents listing page accessible,curl -s -o /dev/null -w %{http_code} http://localhost:5000/agents,PASS,,
Route_System,Specialized_Routes,/tersona route must return HTTP 200,Specialized tersona listing page accessible,curl -s -o /dev/null -w %{http_code} http://localhost:5000/tersona,PASS,,
Route_System,Specialized_Routes,/terports route must return HTTP 200,Specialized terports listing page accessible,curl -s -o /dev/null -w %{http_code} http://localhost:5000/terports,PASS,,
Encyclopedia_System,Encyclopedia_Root,/cyc route must return HTTP 200,Encyclopedia landing page accessible,curl -s -o /dev/null -w %{http_code} http://localhost:5000/cyc,PASS,,
Encyclopedia_System,Encyclopedia_Lookup,/cyc/myrcene route must return HTTP 200,Individual terpene encyclopedia pages accessible,curl -s -o /dev/null -w %{http_code} http://localhost:5000/cyc/myrcene,PASS,,
Encyclopedia_System,Encyclopedia_Lookup,/cyc/limonene route must return HTTP 200,Individual terpene encyclopedia pages accessible,curl -s -o /dev/null -w %{http_code} http://localhost:5000/cyc/limonene,PASS,,
API_System,Encyclopedia_API,/wp-json/terpedia/v1/cyc/myrcene API must return HTTP 200 with JSON,Encyclopedia API returns structured terpene data,curl -s -o /dev/null -w %{http_code} http://localhost:5000/wp-json/terpedia/v1/cyc/myrcene,PASS,,
API_System,Encyclopedia_API,/api/encyclopedia/search API must return HTTP 200,Encyclopedia search API returns query results,curl -s -o /dev/null -w %{http_code} 'http://localhost:5000/api/encyclopedia/search?q=terpene',FAIL,9,Encyclopedia search API returns 404 - need search endpoint implementation
API_System,Text_Processing_API,/wp-json/terpedia/v1/keywords API must return HTTP 200,Keywords API returns scientific keyword list,curl -s -o /dev/null -w %{http_code} http://localhost:5000/wp-json/terpedia/v1/keywords,PASS,,
API_System,Text_Processing_API,/api/text/process API must accept POST with JSON,Text processing API processes and returns enhanced text,curl -X POST -H 'Content-Type: application/json' -d '{"text":"test"}' http://localhost:5000/api/text/process,FAIL,11,Text processing API returns 404 - need text enhancement endpoint
Text_Processing,Keyword_Linking,Scientific keywords auto-link to /cyc encyclopedia,Myrcene limonene etc. become clickable /cyc links in content,wp eval 'echo apply_filters("the_content",FAIL,PASS,
Text_Processing,URL_Processing,URLs automatically become clickable links,https:// URLs become proper <a href> links in content,wp eval 'echo apply_filters("the_content",FAIL,PASS,
Text_Processing,Hashtag_Processing,Hashtags become searchable links,#hashtags become links to search functionality,wp eval 'echo apply_filters("the_content",FAIL,PASS,
Shortcode_System,Core_Shortcodes,terpedia_agents shortcode renders 5+ agent cards,Shortcode outputs HTML with agent-card class elements,wp eval 'echo do_shortcode("[terpedia_agents]");' | grep -c agent-card,PASS,,
Database_System,Database_Connection,WordPress database connection must work,Database queries execute without errors,wp eval 'global $wpdb; echo $wpdb->get_var("SELECT COUNT(*) FROM {$wpdb->posts}");',PASS,,
File_Structure,Plugin_Classes,Advanced plugin class files must exist,Class files for podcast newsletter terports replit-api exist,ls terpedia-plugin/includes/class-*.php,PASS,,
Performance,Route_Performance,All routes must respond within 2 seconds,Page load times under 2000ms for user experience,curl -w '%{time_total}' -s -o /dev/null http://localhost:5000/,FAIL,16,Need performance monitoring for route response times
Security,API_Security,API endpoints must validate input and sanitize output,APIs reject malformed requests and escape output,Manual security testing of API endpoints,UNKNOWN,17,Need security validation for all API endpoints
Content_Management,Dynamic_Content,Shortcodes must render dynamic content from CPTs,Shortcodes pull live data from database not hardcoded content,Verify shortcode content changes when CPT data changes,PARTIAL,18,Shortcodes render some dynamic content but may have hardcoded fallbacks
Shortcode_System,Core_Shortcodes,terpedia_recent_research shortcode displays research content,Shortcode outputs research-related HTML content,wp eval 'echo do_shortcode("[terpedia_recent_research]");' | grep -c "Research",PASS,,
Route_System,Route_Content_Validation,/agents page contains agent listings,Agents page renders actual agent content not just 200 response,curl -s http://localhost:5000/agents | grep -i "agent",FAIL,1,
Route_System,Route_Content_Validation,/tersona page contains tersona listings,Tersona page renders actual tersona content not just 200 response,curl -s http://localhost:5000/tersona | grep -i "tersona",FAIL,2,
Route_System,Route_Content_Validation,/cyc page contains encyclopedia content,Encyclopedia home page renders proper encyclopedia interface,curl -s http://localhost:5000/cyc | grep -i "encyclopedia",FAIL,3,
Route_System,Route_Response_Time,All routes respond within 100ms,Fast response times for good user experience,timeout 1 curl -w '%{time_total}' -s -o /dev/null http://localhost:5000/agents,PASS,,
API_System,Encyclopedia_Search,/wp-json/terpedia/v1/encyclopedia/search API works,Encyclopedia search endpoint returns results,curl -s http://localhost:5000/wp-json/terpedia/v1/encyclopedia/search | grep -q "results",FAIL,4,
Text_Processing,WordPress_Filters,Text processing filters applied to content,WordPress content filters enhance text with links,wp eval 'echo apply_filters("the_content",FAIL,PASS,
Performance,Memory_Usage,Plugin uses reasonable memory,Memory usage under 50MB for good performance,php -r 'echo memory_get_peak_usage(true)/1024/1024 . "MB";',PASS,,
Theme_System,Theme_Assets,Theme CSS and JS files load correctly,Theme assets return HTTP 200 and contain expected content,curl -s -o /dev/null -w '%{http_code}' http://localhost:5000/wp-content/themes/terpedia-scientific/style.css | grep -q 200,FAIL,5,
Plugin_Structure,Plugin_Headers,Plugin header contains correct metadata,Plugin file has proper WordPress plugin headers,head -20 terpedia-plugin/terpedia.php | grep -q "Plugin Name",PASS,,
